location,month,temperature,humidity_level
Caraga (Region XIII),November,32.2,80.3
Caraga (Region XIII),December,33.5,78.9
Central Luzon (Region III),January,32.5,69.4
Central Luzon (Region III),February,28.8,83.6
Central Luzon (Region III),March,29.9,82.7
Central Luzon (Region III),April,30.3,87.7
Central Luzon (Region III),May,28.2,77.4
Central Luzon (Region III),June,29.3,79.3
Central Luzon (Region III),July,28.2,83.2
Central Luzon (Region III),August,28.2,82.5
Central Luzon (Region III),September,30.9,76.2
Central Luzon (Region III),October,30.1,82.7
Central Luzon (Region III),November,28.0,80.1
Central Luzon (Region III),December,29.3,79.8
Central Visayas (Region VII),January,33.3,72.3
Central Visayas (Region VII),February,32.8,66.3
Central Visayas (Region VII),March,30.9,74.3
Central Visayas (Region VII),April,30.5,64.4
Central Visayas (Region VII),May,29.7,76.6
Central Visayas (Region VII),June,32.0,76.8
Central Visayas (Region VII),July,31.9,70.8
Central Visayas (Region VII),August,30.8,75.2
Central Visayas (Region VII),September,30.5,63.2
Central Visayas (Region VII),October,31.2,72.9
Central Visayas (Region VII),November,33.3,64.5
Central Visayas (Region VII),December,29.0,67.8
Cordillera Administrative Region (CAR),January,32.4,78.2
Cordillera Administrative Region (CAR),February,32.1,86.1
Cordillera Administrative Region (CAR),March,29.0,77.0
Cordillera Administrative Region (CAR),April,30.4,70.6
Cordillera Administrative Region (CAR),May,29.7,89.4
Cordillera Administrative Region (CAR),June,30.4,79.2
Cordillera Administrative Region (CAR),July,28.5,78.0
Cordillera Administrative Region (CAR),August,30.5,83.6
Cordillera Administrative Region (CAR),September,29.0,88.8
Cordillera Administrative Region (CAR),October,30.6,80.0
Cordillera Administrative Region (CAR),November,32.7,83.7
Cordillera Administrative Region (CAR),December,29.1,84.7
Davao Region (Region XI),January,27.8,66.0
Davao Region (Region XI),February,27.2,60.9
Davao Region (Region XI),March,29.3,60.2
Davao Region (Region XI),April,27.3,77.0
Davao Region (Region XI),May,25.9,78.0
Davao Region (Region XI),June,28.8,64.7
Davao Region (Region XI),July,29.0,61.4
Davao Region (Region XI),August,27.7,75.7
Davao Region (Region XI),September,28.1,60.0
Davao Region (Region XI),October,25.6,71.5
Davao Region (Region XI),November,28.0,66.9
Davao Region (Region XI),December,28.6,69.5
Eastern Visayas (Region VIII),January,31.7,83.1
Eastern Visayas (Region VIII),February,29.4,86.3
Eastern Visayas (Region VIII),March,29.6,84.4
Eastern Visayas (Region VIII),April,31.2,81.2
Eastern Visayas (Region VIII),May,33.7,85.1
Eastern Visayas (Region VIII),June,30.4,69.0
Eastern Visayas (Region VIII),July,31.1,76.8
Eastern Visayas (Region VIII),August,32.3,69.2
Eastern Visayas (Region VIII),September,30.4,70.3
Eastern Visayas (Region VIII),October,30.3,80.0
Eastern Visayas (Region VIII),November,33.5,73.7
Eastern Visayas (Region VIII),December,32.2,84.8
Ilocos Region (Region I),January,31.3,85.7
Ilocos Region (Region I),February,31.2,74.6
Ilocos Region (Region I),March,29.6,74.2
Ilocos Region (Region I),April,31.5,83.0
Ilocos Region (Region I),May,34.0,75.8
Ilocos Region (Region I),June,30.7,71.8
Ilocos Region (Region I),July,29.5,71.0
Ilocos Region (Region I),August,32.3,81.8
Ilocos Region (Region I),September,32.3,85.3
Ilocos Region (Region I),October,33.3,85.5
Ilocos Region (Region I),November,30.5,80.0
Ilocos Region (Region I),December,31.2,77.0
MIMAROPA (Region IV-B),January,30.0,69.0
MIMAROPA (Region IV-B),February,27.7,82.4
MIMAROPA (Region IV-B),March,29.1,74.1
MIMAROPA (Region IV-B),April,27.0,76.4
MIMAROPA (Region IV-B),May,31.3,82.3
MIMAROPA (Region IV-B),June,27.7,79.7
MIMAROPA (Region IV-B),July,29.2,68.8
MIMAROPA (Region IV-B),August,29.0,66.4
MIMAROPA (Region IV-B),September,29.6,74.6
MIMAROPA (Region IV-B),October,28.3,81.3
MIMAROPA (Region IV-B),November,28.5,85.2
MIMAROPA (Region IV-B),December,26.9,70.6
Metro Manila,January,29.2,82.0
Metro Manila,February,28.6,73.7
Metro Manila,March,30.9,87.6
Metro Manila,April,31.7,89.3
Metro Manila,May,30.7,86.2
Metro Manila,June,27.3,77.4
Metro Manila,July,27.7,85.2
Metro Manila,August,30.7,80.3
Metro Manila,September,28.5,74.4
Metro Manila,October,30.3,84.0
Metro Manila,November,31.3,74.1
Metro Manila,December,27.9,89.4
Northern Mindanao (Region X),January,33.7,89.2
Northern Mindanao (Region X),February,33.4,75.9
Northern Mindanao (Region X),March,29.7,71.5
Northern Mindanao (Region X),April,33.1,82.1
Northern Mindanao (Region X),May,31.8,89.0
Northern Mindanao (Region X),June,32.6,87.6
Northern Mindanao (Region X),July,29.8,84.5
Northern Mindanao (Region X),August,30.4,71.6
Northern Mindanao (Region X),September,33.1,73.0
Northern Mindanao (Region X),October,30.0,77.5
Northern Mindanao (Region X),November,29.8,75.5
Northern Mindanao (Region X),December,32.3,87.9
SOCCSKSARGEN (Region XII),January,31.6,81.5
SOCCSKSARGEN (Region XII),February,28.2,82.1
SOCCSKSARGEN (Region XII),March,30.9,81.8
SOCCSKSARGEN (Region XII),April,32.2,82.7
SOCCSKSARGEN (Region XII),May,28.3,80.6
SOCCSKSARGEN (Region XII),June,32.5,78.2
SOCCSKSARGEN (Region XII),July,29.0,75.3
SOCCSKSARGEN (Region XII),August,28.5,75.9
SOCCSKSARGEN (Region XII),September,30.2,88.9
SOCCSKSARGEN (Region XII),October,28.2,77.1
SOCCSKSARGEN (Region XII),November,31.3,90.5
SOCCSKSARGEN (Region XII),December,28.1,88.0
Western Visayas (Region VI),January,28.0,66.9
Western Visayas (Region VI),February,29.1,65.5
Western Visayas (Region VI),March,29.7,69.5
Western Visayas (Region VI),April,26.2,67.5
Western Visayas (Region VI),May,30.0,79.4
Western Visayas (Region VI),June,26.8,73.7
Western Visayas (Region VI),July,30.0,82.0
Western Visayas (Region VI),August,27.4,75.1
Western Visayas (Region VI),September,30.4,71.1
Western Visayas (Region VI),October,28.7,79.7
Western Visayas (Region VI),November,27.3,63.8
Western Visayas (Region VI),December,28.1,72.0
Zamboanga Peninsula (Region IX),January,29.0,73.5
Zamboanga Peninsula (Region IX),February,28.6,79.5
Zamboanga Peninsula (Region IX),March,31.8,68.9
Zamboanga Peninsula (Region IX),April,30.7,82.7
Zamboanga Peninsula (Region IX),May,31.7,70.9
Zamboanga Peninsula (Region IX),June,32.4,77.4
Zamboanga Peninsula (Region IX),July,28.3,83.1
Zamboanga Peninsula (Region IX),August,28.2,80.9
Zamboanga Peninsula (Region IX),September,31.7,83.3
Zamboanga Peninsula (Region IX),October,32.6,74.8
Zamboanga Peninsula (Region IX),November,31.2,80.8
Zamboanga Peninsula (Region IX),December,30.4,72.2
